Channel_Die,Start,End,Operation
-1--1,3400384,3400386,COMPUTE
-1--1,3500400,3500402,COMPUTE
-1--1,3500416,3500418,COMPUTE
-1--1,3500432,3500440,COMPUTE
1-2,3500448,3700464,READ
1-3,3500464,3650480,READ
1-4,3500480,3900512,READ
-1--1,3550320,3550322,COMPUTE
-1--1,3650336,3650338,COMPUTE
-1--1,3650352,3650356,COMPUTE
1-8,3650368,7000592,READ
-1--1,3650384,3650388,COMPUTE
1-10,3650400,3850416,READ
-1--1,3750416,3750418,COMPUTE
-1--1,3750432,3750434,COMPUTE
-1--1,3750448,3750454,COMPUTE
1-2,3750464,5400576,READ
1-3,3750480,3950496,READ
-1--1,3750496,3750500,COMPUTE
1-5,3750512,4450560,READ
-1--1,3900352,3900354,COMPUTE
-1--1,3900368,3900370,COMPUTE
-1--1,3900384,3900386,COMPUTE
-1--1,3900400,3900404,COMPUTE
1-10,3900416,4050432,READ
-1--1,4000432,4000438,COMPUTE
1-0,4000448,5850576,READ
1-1,4000464,4150480,READ
-1--1,4000480,4000486,COMPUTE
1-3,4000496,4950560,READ
1-4,4000512,4450544,READ
-1--1,4000528,4000530,COMPUTE
-1--1,4100368,4100370,COMPUTE
-1--1,4150384,4150386,COMPUTE
-1--1,4150400,4150406,COMPUTE
1-9,4150416,4350432,READ
1-10,4150432,6050560,READ
-1--1,4150448,4150450,COMPUTE
-1--1,4250464,4250468,COMPUTE
1-1,4250480,7300688,READ
-1--1,4250496,4250498,COMPUTE
-1--1,4250512,4250514,COMPUTE
-1--1,4250528,4250530,COMPUTE
-1--1,4250544,4250546,COMPUTE
-1--1,4300384,4300386,COMPUTE
-1--1,4400400,4400402,COMPUTE
-1--1,4400416,4400420,COMPUTE
1-9,4400432,4600448,READ
-1--1,4400448,4400452,COMPUTE
1-11,4400464,4800496,READ
-1--1,4500480,4500482,COMPUTE
-1--1,4500496,4500498,COMPUTE
-1--1,4500512,4500514,COMPUTE
-1--1,4500528,4500536,COMPUTE
1-4,4500544,4700560,READ
1-5,4500560,4700576,READ
1-6,4500576,4950608,READ
-1--1,4650416,4650418,COMPUTE
-1--1,4650432,4650436,COMPUTE
1-9,4650448,6750592,READ
-1--1,4650464,4650466,COMPUTE
-1--1,4650480,4650482,COMPUTE
-1--1,4700496,4700498,COMPUTE
-1--1,4750512,4750514,COMPUTE
-1--1,4750528,4750530,COMPUTE
-1--1,4750544,4750550,COMPUTE
1-4,4750560,4950576,READ
1-5,4750576,4950592,READ
-1--1,4750592,4750594,COMPUTE
-1--1,4850432,4850434,COMPUTE
-1--1,4900448,4900450,COMPUTE
-1--1,4900464,4900466,COMPUTE
-1--1,4900480,4900484,COMPUTE
1-11,4900496,5100512,READ
-1--1,4900512,4900514,COMPUTE
-1--1,4950528,4950530,COMPUTE
-1--1,5000544,5000554,COMPUTE
1-3,5000560,5900624,READ
1-4,5000576,7150720,READ
1-5,5000592,5700640,READ
1-6,5000608,5400640,READ
-1--1,5050448,5050450,COMPUTE
-1--1,5150464,5150466,COMPUTE
-1--1,5150480,5150482,COMPUTE
-1--1,5150496,5150500,COMPUTE
1-11,5150512,6300592,READ
-1--1,5150528,5150530,COMPUTE
-1--1,5200544,5200546,COMPUTE
-1--1,5250560,5250562,COMPUTE
-1--1,5250576,5250578,COMPUTE
-1--1,5250592,5250594,COMPUTE
-1--1,5250608,5250610,COMPUTE
-1--1,5250624,5250626,COMPUTE
-1--1,5300464,5300466,COMPUTE
