Channel_Die,Start,End,Operation
0-0,0,250016,READ
1-0,0,2200112,READ
1-1,16,200032,READ
1-2,32,350048,READ
1-3,48,200064,READ
1-4,64,250080,READ
1-5,80,250096,READ
1-6,96,350112,READ
1-7,112,250128,READ
1-8,128,250144,READ
1-9,144,350160,READ
1-10,160,200176,READ
1-11,176,650208,READ
-1--1,400016,400038,COMPUTE
1-1,400032,1000064,READ
1-2,400048,650064,READ
1-3,400064,650080,READ
1-4,400080,1350128,READ
1-5,400096,1000128,READ
1-6,400112,650128,READ
1-7,400128,1000160,READ
1-8,400144,1050176,READ
1-9,400160,1800224,READ
1-10,400176,650192,READ
-1--1,400192,400194,COMPUTE
-1--1,750032,750034,COMPUTE
-1--1,750048,750054,COMPUTE
1-2,750064,1000080,READ
1-3,750080,1350112,READ
-1--1,750096,750098,COMPUTE
-1--1,750112,750116,COMPUTE
1-6,750128,1450160,READ
-1--1,750144,750146,COMPUTE
-1--1,800160,800162,COMPUTE
-1--1,800176,800182,COMPUTE
1-10,800192,1150208,READ
1-11,800208,1050224,READ
-1--1,1100048,1100054,COMPUTE
1-1,1100064,2700144,READ
1-2,1100080,1350096,READ
-1--1,1100096,1100098,COMPUTE
-1--1,1100112,1100116,COMPUTE
1-5,1100128,1300144,READ
-1--1,1100144,1100150,COMPUTE
1-7,1100160,1450176,READ
1-8,1100176,1300192,READ
-1--1,1200192,1200198,COMPUTE
1-10,1200208,1450224,READ
1-11,1200224,1400240,READ
-1--1,1500064,1500066,COMPUTE
-1--1,1500080,1500096,COMPUTE
1-2,1500096,1700112,READ
1-3,1500112,1850128,READ
1-4,1500128,1700144,READ
1-5,1500144,2250176,READ
1-6,1500160,1850176,READ
1-7,1500176,1750192,READ
1-8,1500192,1850208,READ
-1--1,1550208,1550214,COMPUTE
1-10,1550224,1800240,READ
1-11,1550240,2200272,READ
-1--1,1750080,1750082,COMPUTE
-1--1,1900096,1900104,COMPUTE
1-2,1900112,3450192,READ
1-3,1900128,2100144,READ
1-4,1900144,2250160,READ
-1--1,1900160,1900172,COMPUTE
1-6,1900176,2100192,READ
1-7,1900192,2150208,READ
1-8,1900208,3400272,READ
1-9,1900224,2250240,READ
1-10,1900240,2150256,READ
-1--1,1950256,1950258,COMPUTE
-1--1,2000096,2000098,COMPUTE
-1--1,2250112,2250114,COMPUTE
-1--1,2300128,2300140,COMPUTE
1-3,2300144,2650160,READ
1-4,2300160,2550176,READ
1-5,2300176,2550192,READ
1-6,2300192,2950224,READ
1-7,2300208,2650224,READ
-1--1,2300224,2300234,COMPUTE
1-9,2300240,2650256,READ
1-10,2300256,2550272,READ
1-11,2300272,3750336,READ
1-0,2300288,2650304,READ
-1--1,2450128,2450130,COMPUTE
-1--1,2700144,2700152,COMPUTE
1-3,2700160,3500208,READ
1-4,2700176,3850240,READ
1-5,2700192,3300224,READ
-1--1,2700208,2700212,COMPUTE
1-7,2700224,2950240,READ
-1--1,2700240,2700246,COMPUTE
1-9,2700256,2950272,READ
1-10,2700272,3350304,READ
-1--1,2700288,2700294,COMPUTE
1-0,2700304,3700352,READ
1-1,2700320,3050336,READ
-1--1,2950160,2950162,COMPUTE
-1--1,2950176,2950178,COMPUTE
-1--1,2950192,2950194,COMPUTE
-1--1,3050208,3050214,COMPUTE
1-6,3050224,3600256,READ
1-7,3050240,5350352,READ
-1--1,3050256,3050260,COMPUTE
1-9,3050272,3700304,READ
-1--1,3100288,3100290,COMPUTE
-1--1,3100304,3100306,COMPUTE
-1--1,3100320,3100324,COMPUTE
1-1,3100336,3450352,READ
-1--1,3200176,3200178,COMPUTE
-1--1,3300192,3300194,COMPUTE
-1--1,3350208,3350212,COMPUTE
1-5,3350224,4500288,READ
-1--1,3400240,3400242,COMPUTE
-1--1,3450256,3450260,COMPUTE
1-8,3450272,3700288,READ
-1--1,3450288,3450292,COMPUTE
1-10,3450304,4450352,READ
-1--1,3500320,3500322,COMPUTE
